Name,Scientific_Name,Pop_Global,Pop_US_Canada,Pop_Canada,Pop_USA,Max_NA_Pop
Curve-billed Thrasher,Toxostoma curvirostre,3100000,1000000,0,1000000,1000000
Brown Thrasher,Toxostoma rufum,6200000,6200000,440000,5700000,6200000
Long-billed Thrasher,Toxostoma longirostre,280000,96000,0,96000,96000
Bendire's Thrasher,Toxostoma bendirei,83000,56000,0,56000,56000
California Thrasher,Toxostoma redivivum,240000,160000,0,160000,160000
LeConte's Thrasher,Toxostoma lecontei,71000,46000,0,46000,46000
Crissal Thrasher,Toxostoma crissale,110000,82000,0,82000,82000
Sage Thrasher,Oreoscoptes montanus,6400000,6400000,120,6400000,6400000
Northern Mockingbird,Mimus polyglottos,43000000,34000000,12000,34000000,34000000
European Starling,Sturnus vulgaris,250000000,93000000,20000000,74000000,93000000
Common Myna,Acridotheres tristis,200000000,0,0,0,0
Bohemian Waxwing,Bombycilla garrulus,5000000,2500000,2000000,540000,2500000
Cedar Waxwing,Bombycilla cedrorum,64000000,64000000,35000000,29000000,64000000
Phainopepla,Phainopepla nitens,3200000,1300000,0,1300000,1300000
Olive Warbler,Peucedramus taeniatus,1900000,92000,0,92000,92000
House Sparrow,Passer domesticus,740000000,93000000,13000000,80000000,93000000
Eurasian Tree Sparrow,Passer montanus,250000000,150000,0,150000,150000
Eastern Yellow Wagtail,Motacilla tschutschensis,20000000,1000000,0,0,1000000
White Wagtail,Motacilla alba,860000000,500,0,0,500
Red-throated Pipit,Anthus cervinus,2000000,50,0,0,50
American Pipit,Anthus rubescens,20000000,18000000,18000000,200000,18000000
Sprague's Pipit,Anthus spragueii,1400000,1400000,1100000,320000,1400000
Evening Grosbeak,Coccothraustes vespertinus,3800000,3800000,2000000,1800000,3800000
Pine Grosbeak,Pinicola enucleator,11000000,5500000,4200000,1400000,5500000
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,200000,200000,0,0,200000
Black Rosy-Finch,Leucosticte atrata,120000,120000,0,0,120000
Brown-capped Rosy-Finch,Leucosticte australis,85000,85000,0,0,85000
House Finch,Haemorhous mexicanus,40000000,33000000,700000,33000000,33000000
Purple Finch,Haemorhous purpureus,6500000,6500000,4200000,2300000,6500000
Cassin's Finch,Haemorhous cassinii,3200000,3200000,170000,3000000,3200000
Common Redpoll,Acanthis flammea,250000000,76000000,20000000,56000000,76000000
Hoary Redpoll,Acanthis hornemanni,28000000,14000000,13000000,1500000,14000000
Red Crossbill,Loxia curvirostra,26000000,9600000,3800000,5800000,9600000
Cassia Crossbill,Loxia sinesciuris,5800,5800,0,0,5800
White-winged Crossbill,Loxia leucoptera,79000000,40000000,36000000,3500000,40000000
Pine Siskin,Spinus pinus,46000000,45000000,30000000,15000000,45000000
Lesser Goldfinch,Spinus psaltria,15000000,5700000,0,5700000,5700000
Lawrence's Goldfinch,Spinus lawrencei,380000,350000,0,350000,350000
American Goldfinch,Spinus tristis,44000000,44000000,14000000,30000000,44000000
Lapland Longspur,Calcarius lapponicus,140000000,68000000,58000000,9700000,68000000
Chestnut-collared Longspur,Calcarius ornatus,3100000,3100000,1300000,1800000,3100000
Smith's Longspur,Calcarius pictus,75000,75000,0,0,75000
McCown's Longspur,Rhynchophanes mccownii,840000,840000,260000,580000,840000
Snow Bunting,Plectrophenax nivalis,29000000,14000000,14000000,0,14000000
McKay's Bunting,Plectrophenax hyperboreus,31000,31000,0,0,31000
Olive Sparrow,Arremonops rufivirgatus,4800000,830000,0,830000,830000
Green-tailed Towhee,Pipilo chlorurus,4800000,4800000,0,4800000,4800000
Spotted Towhee,Pipilo maculatus,40000000,35000000,5900000,29000000,35000000
Eastern Towhee,Pipilo erythrophthalmus,29000000,29000000,170000,29000000,29000000
Rufous-crowned Sparrow,Aimophila ruficeps,1200000,600000,0,600000,600000
Canyon Towhee,Melozone fusca,9100000,2800000,0,2800000,2800000
California Towhee,Melozone crissalis,7500000,5200000,0,5200000,5200000
Abert's Towhee,Melozone aberti,950000,890000,0,890000,890000
Rufous-winged Sparrow,Peucaea carpalis,200000,67000,0,67000,67000
Botteri's Sparrow,Peucaea botterii,170000,33000,0,33000,33000
Cassin's Sparrow,Peucaea cassinii,14000000,9600000,0,9600000,9600000
Bachman's Sparrow,Peucaea aestivalis,170000,170000,0,170000,170000
